ticker,shares,cost,sector_etf
NVDA,544.2871,170.74,SMH
MRVL,207.0,161.96,SMH
TSLA,135.6363,371.06,XLY
AMD,88.0,254.3,SMH
AAOI,145.0,155.96,SMH
ANET,128.3691,140.6,XLK
SNPS,29.0,391.68,XLK
ALAB,30.0,168.35,SMH
MU,11.0,455.68,SMH
EOSE,1289.0,11.43,XLE
AMPX,466.0,8.46,XLE
CDNS,17.0,294.76,XLK
MOD,18.1758,66.4,XLI
CLS,14.0,329.71,XLK
STRL,6.0,76.31,XLI
BE,15.0,145.85,XLE
VRT,10.0,95.26,XLI
GRBK,41.1321,54.73,XLY
ASML,1.4061,710.23,SMH
TEM,45.0,47.31,XLV
HWM,8.108,129.31,XLI
POWL,6.0,44.44,XLI
EME,1.9745,506.67,XLI
XOM,10.0,111.85,XLE
AMGN,3.8596,260.36,XLV
NOW,8.0,118.94,XLK
